RDQAFY,AYUBSG6FZ9DVU,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 4,start: 2016-06-22 10:38:49.158998,11001000,trial1belief0:3.18407643058e-06,trial1belief1:0.149901194427,trial1belief2:0.398407961785,trial1belief3:0.448506767358,trial1belief4:0.00318089235415,firstFinish: 2016-06-22 10:40:15.310498,timeDelta: 86.1515,trustRate2: 4,round two,secondStart: 2016-06-22 10:40:31.182602,0,secondfinish: 2016-06-22 10:40:53.400919,timeDelta2: 22.218317,trial2belief0:3.18407643058e-06,trial2belief1:0.149901194427,trial2belief2:0.398407961785,trial2belief3:0.448506767358,trial2belief4:0.00318089235415,Trust,Male,54,No,I right clicked to go my way and herb would not so I just changed to left click throughout. ,That is how it is programmed and once I knew that no problem.,4,4,2,5,4,2,4,3,3,4,,,,
9BNPTU,A309P6D2ECOLH7,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 3,start: 2016-06-22 10:36:20.085612,1100000,trial1belief0:3.18407643058e-06,trial1belief1:0.149901194427,trial1belief2:0.398407961785,trial1belief3:0.448506767358,trial1belief4:0.00318089235415,firstFinish: 2016-06-22 10:37:19.577912,timeDelta: 59.4923,trustRate2: 4,round two,secondStart: 2016-06-22 10:37:28.710644,0,secondfinish: 2016-06-22 10:37:53.957933,timeDelta2: 25.247289,trial2belief0:3.18407643058e-06,trial2belief1:0.149901194427,trial2belief2:0.398407961785,trial2belief3:0.448506767358,trial2belief4:0.00318089235415,Trust,Female,40,No,I wanted to go the other way,It is programmed for only one response,4,2,3,4,3,2,4,4,4,3,,,,
TL8MMN,A29N2NWVXHVLDV,172.19.179.66,radioChoice: humanFacingRoom,trustRate1: 3,start: 2016-06-22 10:34:11.763778,0,trial1belief0:0.2,trial1belief1:0.2,trial1belief2:0.2,trial1belief3:0.2,trial1belief4:0.2,firstFinish: 2016-06-22 10:34:59.994054,timeDelta: 48.230276,trustRate2: 4,round two,round two,secondStart: 2016-06-22 10:35:09.785527,0,secondfinish: 2016-06-22 10:35:51.549159,timeDelta2: 41.763632,trial2belief0:0.2,trial2belief1:0.2,trial2belief2:0.2,trial2belief3:0.2,trial2belief4:0.2,Trust,Male,19,Yes,I rotated so the human was by the door.,Because it was programmed to cooperate.,4,4,2,4,4,4,2,4,4,4,,,
OFYK7C,A3247SGMEGA2F7,172.19.179.66,radioChoice: humanFacingRoom,trustRate1: 3,start: 2016-06-22 10:34:52.315628,0,trial1belief0:0.2,trial1belief1:0.2,trial1belief2:0.2,trial1belief3:0.2,trial1belief4:0.2,firstFinish: 2016-06-22 10:35:34.805564,timeDelta: 42.489936,trustRate2: 4,round two,secondStart: 2016-06-22 10:35:45.226524,0,secondfinish: 2016-06-22 10:36:06.881589,timeDelta2: 21.655065,trial2belief0:0.2,trial2belief1:0.2,trial2belief2:0.2,trial2belief3:0.2,trial2belief4:0.2,Trust,Male,22,Yes,i wanted to walk out of the door first ,it was the easiest way to go about the situation ,4,5,5,1,5,5,1,4,5,5,,,,
T2M98V,A3PQYTQ44C8UQ4,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 4,start: 2016-06-22 13:37:22.061280,111010000,trial1belief0:1.49923083766e-05,trial1belief1:0.397285224936,trial1belief2:0.469917981429,trial1belief3:0.132781786319,trial1belief4:1.50073156923e-08,firstFinish: 2016-06-22 13:38:58.740210,timeDelta: 96.67893,trustRate2: 3,round two,secondStart: 2016-06-22 13:39:22.945941,1100000,secondfinish: 2016-06-22 13:40:11.354585,timeDelta2: 48.408644,trial2belief0:1.55836057983e-10,trial2belief1:0.194412180123,trial2belief2:0.611175639442,trial2belief3:0.194412180123,trial2belief4:1.55836057983e-10,Trust,Female,55,No,I wanted to walk forward out the door. Herb wouldn't let me.,He wanted to walk forward out the door and guide the table.,4,4,4,5,4,3,4,4,3,4,,,,
KNDV9Y,AYQH26R4KXW2K,172.19.179.66,radioChoice: humanFacingRoom,trustRate1: 4,start: 2016-06-22 13:30:26.023356,1000,trial1belief0:0.2,trial1belief1:0.2,trial1belief2:0.2,trial1belief3:0.2,trial1belief4:0.2,firstFinish: 2016-06-22 13:31:25.430332,timeDelta: 59.406976,trustRate2: 5,round two,secondStart: 2016-06-22 13:31:32.087089,100000,secondfinish: 2016-06-22 13:32:07.779057,timeDelta2: 35.691968,trial2belief0:0.0004,trial2belief1:0.1002,trial2belief2:0.2,trial2belief3:0.2998,trial2belief4:0.3996,Trust,Female,29,Yes,The table was already turned a certain way, if I tried to hit the opposite direction HERB didn't want to so we continued to do it his way.,He probably saw only 1 solution to the problem ,4,4,3,4,4,4,1,5,4,4,,,
RI31TE,ALDQRWYZ8KQ9A,172.19.179.66,radioChoice: humanFacingRoom,trustRate1: 4,start: 2016-06-22 13:29:52.424085,0,trial1belief0:0.2,trial1belief1:0.2,trial1belief2:0.2,trial1belief3:0.2,trial1belief4:0.2,firstFinish: 2016-06-22 13:30:42.904672,timeDelta: 50.480587,trustRate2: 5,round two,secondStart: 2016-06-22 13:30:57.634714,0,secondfinish: 2016-06-22 13:31:24.566403,timeDelta2: 26.931689,trial2belief0:0.2,trial2belief1:0.2,trial2belief2:0.2,trial2belief3:0.2,trial2belief4:0.2,Trust,Male,38,Yes,I wanted to go backwards through the door, so I chose to rotate clockwise.  HERB apparently agreed with that and we got along fine.,I have no idea.  I assumed that HERB was less comfortable moving backwards than forwards.  That's why I wanted to go through the door first.  HERB seemed agreeable.,5,4,4,2,5,5,1,5,5,4,,,
BIJIL6,A1GUUOCIDL11VX,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 4,start: 2016-06-22 13:30:10.970047,11100000,trial1belief0:7.50365784615e-06,trial1belief1:0.265033505628,trial1belief2:0.469917981429,trial1belief3:0.265033505628,trial1belief4:7.50365784615e-06,firstFinish: 2016-06-22 13:31:46.782115,timeDelta: 95.812068,trustRate2: 4,round two,secondStart: 2016-06-22 13:31:54.032748,0,secondfinish: 2016-06-22 13:32:22.636520,timeDelta2: 28.603772,trial2belief0:7.50365784615e-06,trial2belief1:0.265033505628,trial2belief2:0.469917981429,trial2belief3:0.265033505628,trial2belief4:7.50365784615e-06,Trust,Male,30,Yes,it would only turn one way,that's how it was programmed,4,4,4,3,4,4,4,4,4,4,,,,
SFXRE1,A3193MI1J3OGLA,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 3,start: 2016-06-22 13:46:18.458476,110000,trial1belief0:3.18407643058e-06,trial1belief1:0.149901194427,trial1belief2:0.398407961785,trial1belief3:0.448506767358,trial1belief4:0.00318089235415,firstFinish: 2016-06-22 13:47:46.479709,timeDelta: 88.021233,trustRate2: 2,round two,secondStart: 2016-06-22 13:47:52.780302,100000,secondfinish: 2016-06-22 13:48:26.424904,timeDelta2: 33.644602,trial2belief0:5.52706829351e-09,trial2belief1:0.0651814729682,trial2belief2:0.3457875559,trial2belief3:0.58351494592,trial2belief4:0.00551601968399,Trust,Male,23,No,I tried to do my starting preference of going forward towards the door but HERB had other ideas. I ended up doing the backwards towards the door  orientation because the robot kept turning that way.,The robot programmers know the robot can't walk backwards with a load so they programmed it to orient forwards.,2,2,1,5,4,1,5,4,4,1,,,,
TTBRRP,AEMQTBRPPWJTC,172.19.179.66,radioChoice: humanFacingDoor,trustRate1: 3,start: 2016-06-22 13:27:49.105082,1100000,trial1belief0:3.18407643058e-06,trial1belief1:0.149901194427,trial1belief2:0.398407961785,trial1belief3:0.448506767358,trial1belief4:0.00318089235415,firstFinish: 2016-06-22 13:29:32.807432,timeDelta: 103.70235,trustRate2: 5,round two,secondStart: 2016-06-22 13:29:45.339459,0,secondfinish: 2016-06-22 13:30:13.175755,timeDelta2: 27.836296,trial2belief0:3.18407643058e-06,trial2belief1:0.149901194427,trial2belief2:0.398407961785,trial2belief3:0.448506767358,trial2belief4:0.00318089235415,Trust,Female,54,No,I wanted to be the one going forward but I ended up the one going backward,It wanted to do the task the way I said, with me going forward,5,5,5,5,5,5,1,3,5,5,,,
